Mendeley key;Citation;Solvant;Material;Material class;Ceramic class;Constant temperature;Cooling rate;Interface velocity;Wall thickness;Pore width;Wavelength;failure mode;Defects;permeance;Granulo poudre;Solid Loading;Loading (wt%);Additives;Porosity;Relative density;Strength (MPa);Flexural strength;Sample height;Sample diameter;Sample diameter;Sample ratio;Sample shape;Sample volume;Strain rate;Youngs Modulus (MPa);Normalized Young Modulus;green body ?;Compressive strength dense material;Flexural strength dense material;Normalized strength (compression);Normalized strength (flexion);E_dense;Honeycomb_Ashby;Normalized_strength_Elastic_modulus
Shen2014a;Shen, P., Xi, J., Fu, Y., Shaga, A., Sun, C., & Jiang, Q. (2014). Preparation of High-Strength Al–Mg–Si/Al2O3 Composites with Lamellar Structures Using Freeze Casting and Pressureless Infiltration Techniques. Acta Metallurgica Sinica (English Letters), 27(5), 944–950. doi:10.1007/s40195-014-0157-9;water;alumina;cera;oxide;;;;10-71;70;15-105;cellular;no;;5;20;;1wt%;69;0,31;7;;10;;5;2;block;;;;;0;2600;400;0,0175;;390;69,71094;0,0179487179487179
Shen2014a;Shen, P., Xi, J., Fu, Y., Shaga, A., Sun, C., & Jiang, Q. (2014). Preparation of High-Strength Al–Mg–Si/Al2O3 Composites with Lamellar Structures Using Freeze Casting and Pressureless Infiltration Techniques. Acta Metallurgica Sinica (English Letters), 27(5), 944–950. doi:10.1007/s40195-014-0157-9;water;alumina;cera;oxide;;;;8-58;35;14-95;cellular;no;;5;25;;1wt%;66;0,34;22;;10;;5;2;block;;;;;0;2600;400;0,055;;390;91,97136;0,0564102564102564
Shen2014a;Shen, P., Xi, J., Fu, Y., Shaga, A., Sun, C., & Jiang, Q. (2014). Preparation of High-Strength Al–Mg–Si/Al2O3 Composites with Lamellar Structures Using Freeze Casting and Pressureless Infiltration Techniques. Acta Metallurgica Sinica (English Letters), 27(5), 944–950. doi:10.1007/s40195-014-0157-9;water;alumina;cera;oxide;;;;10-72;13;10-85;cellular;no;;5;30;;1wt%;59;0,41;64;2;10;;5;2;block;;;;;0;2600;400;0,16;0,005;390;161,27514;0,164102564102564
Yang2014;Yang, H., Ye, F., Liu, Q., Liu, S., Gao, Y., & Liu, L. (2014). A novel silica aerogel/porous Si3N4 composite prepared by freeze casting and sol-gel impregnation with high-performance thermal insulation and wave-transparent. Materials Letters, 10–13. doi:10.1016/j.matlet.2014.10.012;water;silicon nitride+alumina+yttria;cera;covalent;;;;;6;;?;no;;0,5;;;;80,5;0,195;;0,87;35;4;3;11,6666666666667;block;;5;;;0;3200;1000;;0,00087;;;
Yang2014;Yang, H., Ye, F., Liu, Q., Liu, S., Gao, Y., & Liu, L. (2014). A novel silica aerogel/porous Si3N4 composite prepared by freeze casting and sol-gel impregnation with high-performance thermal insulation and wave-transparent. Materials Letters, 10–13. doi:10.1016/j.matlet.2014.10.012;water;silicon nitride+alumina+yttria;cera;covalent;;;;;6;;?;no;;0,5;;;;72;0,28;;1,12;;4;3;0;block;;5;;;0;3200;1000;;0,00112;;;
Yang2014;Yang, H., Ye, F., Liu, Q., Liu, S., Gao, Y., & Liu, L. (2014). A novel silica aerogel/porous Si3N4 composite prepared by freeze casting and sol-gel impregnation with high-performance thermal insulation and wave-transparent. Materials Letters, 10–13. doi:10.1016/j.matlet.2014.10.012;water;silicon nitride+alumina+yttria;cera;covalent;;;;;6;;?;no;;0,5;;;;80,5;0,195;4,22;;8;;6;1,33333333333333;block;;5;;;;3200;1000;0,00422;;290;12,9018825;0,014551724137931
Yang2014;Yang, H., Ye, F., Liu, Q., Liu, S., Gao, Y., & Liu, L. (2014). A novel silica aerogel/porous Si3N4 composite prepared by freeze casting and sol-gel impregnation with high-performance thermal insulation and wave-transparent. Materials Letters, 10–13. doi:10.1016/j.matlet.2014.10.012;water;silicon nitride+alumina+yttria;cera;covalent;;;;;6;;?;no;;0,5;;;;72;0,28;7,08;;8;;6;1,33333333333333;block;;5;;;;3200;1000;0,00708;;290;38,19648;0,0244137931034483
Vijayan2014b;Vijayan, S., Narasimman, R., & Prabhakaran, K. (2014). Freeze gelcasting of naphthalene-in-aqueous alumina slurry emulsions for the preparation of macroporous alumina ceramics. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.09.083;naphtalene+water;alumina;cera;oxide;;;;;11;;cellular;no;;0,34;30;;;65;0,35;28,9;;35;;17;2,05882352941176;cylinder;7,94430242276519;1;1224;0,00313846153846154;0;2600;400;0,07225;;390;100,3275;0,0741025641025641
Vijayan2014b;Vijayan, S., Narasimman, R., & Prabhakaran, K. (2014). Freeze gelcasting of naphthalene-in-aqueous alumina slurry emulsions for the preparation of macroporous alumina ceramics. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.09.083;naphtalene+water;alumina;cera;oxide;;;;;9,3;;cellular;no;;0,34;30;;;71,4;0,286;17,8;;35;;17;2,05882352941176;cylinder;7,94430242276519;1;989;0,00253589743589744;0;2600;400;0,0445;;390;54,74115504;0,0456410256410256
Vijayan2014b;Vijayan, S., Narasimman, R., & Prabhakaran, K. (2014). Freeze gelcasting of naphthalene-in-aqueous alumina slurry emulsions for the preparation of macroporous alumina ceramics. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.09.083;naphtalene+water;alumina;cera;oxide;;;;;8,3;;cellular;no;;0,34;30;;;73,6;0,264;13,6;;35;;17;2,05882352941176;cylinder;7,94430242276519;1;660;0,00169230769230769;0;2600;400;0,034;;390;43,05540096;0,0348717948717949
Vijayan2014b;Vijayan, S., Narasimman, R., & Prabhakaran, K. (2014). Freeze gelcasting of naphthalene-in-aqueous alumina slurry emulsions for the preparation of macroporous alumina ceramics. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.09.083;naphtalene+water;alumina;cera;oxide;;;;;6,6;;cellular;no;;0,34;30;;;76,6;0,234;8,8;;35;;17;2,05882352941176;cylinder;7,94430242276519;1;601;0,00154102564102564;0;2600;400;0,022;;390;29,98219536;0,0225641025641026
Vijayan2014b;Vijayan, S., Narasimman, R., & Prabhakaran, K. (2014). Freeze gelcasting of naphthalene-in-aqueous alumina slurry emulsions for the preparation of macroporous alumina ceramics. Ceramics International, 1–8. doi:10.1016/j.ceramint.2014.09.083;naphtalene+water;alumina;cera;oxide;;;;;4,9;;cellular;no;;0,34;30;;;77,9;0,221;7;;35;;17;2,05882352941176;cylinder;7,94430242276519;1;552;0,00141538461538462;0;2600;400;0,0175;;390;25,25763474;0,0179487179487179
Xing2014;Xing, Z., Zhou, W., Du, F., Zhang, L., Li, Z., Zhang, H., & Li, W. (2014). Facile synthesis of hierarchical porous TiO2 ceramics with enhanced photocatalytic performance for micro-polluted pesticide degradation. ACS Applied Materials & Interfaces. doi:10.1021/am5034236;camphene;titania;cera;oxide;;;;;;;?;no;;;;10;;95,1;0,0490000000000001;0,59;;;;;;;;;;;0;700;400;0,001475;;220;0,155296680000001;0,00268181818181818
Xing2014;Xing, Z., Zhou, W., Du, F., Zhang, L., Li, Z., Zhang, H., & Li, W. (2014). Facile synthesis of hierarchical porous TiO2 ceramics with enhanced photocatalytic performance for micro-polluted pesticide degradation. ACS Applied Materials & Interfaces. doi:10.1021/am5034236;camphene;titania;cera;oxide;;;;;;;?;no;;;;15;;93;0,07;0,81;;;;;;;;;;;0;700;400;0,002025;;220;0,45276;0,00368181818181818
Xing2014;Xing, Z., Zhou, W., Du, F., Zhang, L., Li, Z., Zhang, H., & Li, W. (2014). Facile synthesis of hierarchical porous TiO2 ceramics with enhanced photocatalytic performance for micro-polluted pesticide degradation. ACS Applied Materials & Interfaces. doi:10.1021/am5034236;camphene;titania;cera;oxide;;;;;;;?;no;;;;20;;89,6;0,104;0,98;;;;;;;;;;;0;700;400;0,00245;;220;1,48482048;0,00445454545454545
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;;;;?;no;;;;;;31,1;0,689;80,7;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,2521875;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;;;;?;no;;;;;;38,3;0,617;46,5;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,1453125;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;9,2;17,5;;?;no;;;;;;51;0,49;46;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,14375;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;;;;?;no;;;;;;51,3;0,487;33;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,103125;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;7,9;20;;?;no;;;;;;56,4;0,436;22,4;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,07;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;;;;?;no;;;;;;60,2;0,398;20,6;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,064375;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;;;;?;no;;;;;;70,2;0,298;14,8;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,04625;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;24;4,5;;?;no;;;;;;69,2;0,308;10,9;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,0340625;;;;
Lee2010b;Lee, J. M., Yang, T. Y., Yoon, S. Y., Kim, B. K., & Park, H. C. (2010). Recycling of Coal Fly Ash for Fabrication of Porous Mullite Composite. Advanced Materials Research, 156-157, 1649–1652. doi:10.4028/www.scientific.net/AMR.156-157.1649;camphene;mullite+alumina;cera;oxide;-196;;;;;;?;no;;;;;;79,7;0,203;8,2;;10;;20;0,5;cylinder;3,14159265358979;1;;;0;1300;320;0,025625;;;;
Flauder2014;Flauder, S., Gbureck, U., & Müller, F. A. (2014). Structure and mechanical properties of β-TCP scaffolds prepared by ice-templating with preset ice front velocities. Acta Biomaterialia. doi:10.1016/j.actbio.2014.08.020;water;TCP;cera;oxide;;;10;11;40;;?;no;;0,3;10;;2wt;81,8;0,182;0,4;;10;;14;0,714285714285714;cylinder;1,539380400259;5;;;0;140;100;0,004;;120;4,34056896;0,00333333333333333
Flauder2014;Flauder, S., Gbureck, U., & Müller, F. A. (2014). Structure and mechanical properties of β-TCP scaffolds prepared by ice-templating with preset ice front velocities. Acta Biomaterialia. doi:10.1016/j.actbio.2014.08.020;water;TCP;cera;oxide;;;30;21;27;;?;no;;0,3;20;;2wt;67;0,33;3;;10;;14;0,714285714285714;cylinder;1,539380400259;5;;;0;140;100;0,03;;120;25,87464;0,025
Flauder2014;Flauder, S., Gbureck, U., & Müller, F. A. (2014). Structure and mechanical properties of β-TCP scaffolds prepared by ice-templating with preset ice front velocities. Acta Biomaterialia. doi:10.1016/j.actbio.2014.08.020;water;TCP;cera;oxide;;;10;22;15;;?;no;;0,3;30;;2wt;48,9;0,511;17;;10;;14;0,714285714285714;cylinder;1,539380400259;5;;;0;140;100;0,17;;120;96,07163832;0,141666666666667
Flauder2014;Flauder, S., Gbureck, U., & Müller, F. A. (2014). Structure and mechanical properties of β-TCP scaffolds prepared by ice-templating with preset ice front velocities. Acta Biomaterialia. doi:10.1016/j.actbio.2014.08.020;water;TCP;cera;oxide;;;30;4,5;15;;?;no;;0,3;10;;2wt;81,8;0,182;1,1;;10;;14;0,714285714285714;cylinder;1,539380400259;5;;;0;140;100;0,011;;120;4,34056896;0,00916666666666667
Flauder2014;Flauder, S., Gbureck, U., & Müller, F. A. (2014). Structure and mechanical properties of β-TCP scaffolds prepared by ice-templating with preset ice front velocities. Acta Biomaterialia. doi:10.1016/j.actbio.2014.08.020;water;TCP;cera;oxide;;;10;10;12;;?;no;;0,3;20;;2wt;67;0,33;12;;10;;14;0,714285714285714;cylinder;1,539380400259;5;;;0;140;100;0,12;;120;25,87464;0,1
Flauder2014;Flauder, S., Gbureck, U., & Müller, F. A. (2014). Structure and mechanical properties of β-TCP scaffolds prepared by ice-templating with preset ice front velocities. Acta Biomaterialia. doi:10.1016/j.actbio.2014.08.020;water;TCP;cera;oxide;;;30;13;8;;?;no;;0,3;30;;2wt;48,9;0,511;40;;10;;14;0,714285714285714;cylinder;1,539380400259;5;;;0;140;100;0,4;;120;96,07163832;0,333333333333333
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;5;;?;no;yes;1;10;;;69,8;0,302;;21,9;15;;5;3;block;;;;;0;2600;400;;0,05475;390;;
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;7;;?;no;yes;1;15;;;62,2;0,378;;16,3;15;;5;3;block;;;;;0;2600;400;;0,04075;390;;
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;15;;?;no;yes;1;20;;;60,3;0,397;;5,6;15;;5;3;block;;;;;0;2600;400;;0,014;390;;
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;30;;?;no;yes;1;25;;;47,6;0,524;;3,6;15;;5;3;block;;;;;0;2600;400;;0,009;390;;
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;40;;?;no;yes;1;30;;;42,6;0,574;;0,7;15;;5;3;block;;;;;0;2600;400;;0,00175;390;;
Souza2014a;Souza, D. F., Nunes, E. H. M., Pimenta, D. S., Vasconcelos, D. C. L., Nascimento, J. F., Grava, W., … Vasconcelos, W. L. (2014). Synthesis and structural evaluation of freeze-cast porous alumina. Materials Characterization, 96, 183–195. doi:10.1016/j.matchar.2014.08.009;TBA;alumina;cera;oxide;-196;;;;30;;?;no;yes;1;25;;;55,2;0,448;;9,4;15;;5;3;block;;;;;0;2600;400;;0,0235;390;;
