;relative density;porosity;norm strength;method;Z;
;0,040;96,000;7,391E-04;direct foaming surfactants;1.0;
;0,040;96,000;0,002;direct foaming surfactants;1.0;
;0,060;94,000;0,002;direct foaming surfactants;1.0;
;0,058;94,2;2,626E-04;direct foaming surfactants;1.0;
;0,060;94,000;3,734E-04;direct foaming surfactants;1.0;
;0,067;93,3;3,667E-04;direct foaming surfactants;1.0;
;0,068;93,2;5,256E-04;direct foaming surfactants;1.0;
;0,071;92,9;5,887E-04;direct foaming surfactants;1.0;
;0,062;93,8;0,001;direct foaming surfactants;1.0;
;0,067;93,3;9,889E-04;direct foaming surfactants;1.0;
;0,070;93,000;0,001;direct foaming surfactants;1.0;
;0,068;93,2;0,001;direct foaming surfactants;1.0;
;0,056;94,4;4,716E-04;direct foaming surfactants;1.0;
;0,057;94,3;5,383E-04;direct foaming surfactants;1.0;
;0,080;92,000;0,001;direct foaming surfactants;1.0;
;0,125;87,5;9,545E-04;direct foaming surfactants;1.0;
;0,090;91,000;0,008;direct foaming surfactants;1.0;
;0,100;90,000;0,008;direct foaming surfactants;1.0;
;0,099;90,1;0,011;direct foaming surfactants;1.0;
;0,108;89,2;0,012;direct foaming surfactants;1.0;
;0,116;88,4;0,016;direct foaming surfactants;1.0;
;0,129;87,1;0,015;direct foaming surfactants;1.0;
;0,136;86,4;0,013;direct foaming surfactants;1.0;
;0,129;87,1;0,003;direct foaming surfactants;1.0;
;0,124;87,6;0,004;direct foaming surfactants;1.0;
;0,133;86,7;0,005;direct foaming surfactants;1.0;
;0,136;86,4;0,004;direct foaming surfactants;1.0;
;0,140;86,000;0,004;direct foaming surfactants;1.0;
;0,143;85,7;0,004;direct foaming surfactants;1.0;
;0,145;85,5;0,007;direct foaming surfactants;1.0;
;0,151;84,9;0,006;direct foaming surfactants;1.0;
;0,172;82,8;0,011;direct foaming surfactants;1.0;
;0,162;83,8;0,008;direct foaming surfactants;1.0;
;0,190;81,000;0,007;direct foaming surfactants;1.0;
;0,213;78,7;0,008;direct foaming surfactants;1.0;
;0,139;86,1;0,021;direct foaming surfactants;1.0;
;0,143;85,7;0,026;direct foaming surfactants;1.0;
;0,147;85,3;0,025;direct foaming surfactants;1.0;
;0,152;84,8;0,023;direct foaming surfactants;1.0;
;0,150;85,000;0,018;direct foaming surfactants;1.0;
;0,160;84,000;0,025;direct foaming surfactants;1.0;
;0,164;83,6;0,020;direct foaming surfactants;1.0;
;0,176;82,4;0,020;direct foaming surfactants;1.0;
;0,197;80,3;0,023;direct foaming surfactants;1.0;
;0,178;82,2;0,030;direct foaming surfactants;1.0;
;0,171;82,9;0,034;direct foaming surfactants;1.0;
;0,192;80,8;0,034;direct foaming surfactants;1.0;
;0,201;79,9;0,040;direct foaming surfactants;1.0;
;0,196;80,4;0,045;direct foaming surfactants;1.0;
;0,202;79,8;0,061;direct foaming surfactants;1.0;
;0,237;76,3;0,078;direct foaming surfactants;1.0;
;0,232;76,8;0,067;direct foaming surfactants;1.0;
;0,226;77,4;0,053;direct foaming surfactants;1.0;
;0,222;77,8;0,046;direct foaming surfactants;1.0;
;0,219;78,1;0,037;direct foaming surfactants;1.0;
;0,235;76,5;0,015;direct foaming surfactants;1.0;
;0,235;76,5;0,016;direct foaming surfactants;1.0;
;0,229;77,1;0,017;direct foaming surfactants;1.0;
;0,248;75,2;0,019;direct foaming surfactants;1.0;
;0,256;74,4;0,017;direct foaming surfactants;1.0;
;0,263;73,7;0,019;direct foaming surfactants;1.0;
;0,255;74,5;0,023;direct foaming surfactants;1.0;
;0,268;73,2;0,025;direct foaming surfactants;1.0;
;0,312;68,8;0,150;direct foaming surfactants;1.0;
;0,292;70,8;0,119;direct foaming surfactants;1.0;
;0,281;71,9;0,113;direct foaming surfactants;1.0;
;0,304;69,6;0,109;direct foaming surfactants;1.0;
;0,330;67,000;0,109;direct foaming surfactants;1.0;
;0,299;70,1;0,202;direct foaming surfactants;1.0;
;0,371;62,9;0,202;direct foaming surfactants;1.0;
;0,463;53,7;0,255;direct foaming surfactants;1.0;
;0,071;92,9;0,003;direct foaming surfactants;1.0;
;0,258;74,2;0,054;direct foaming surfactants;1.0;
;0,080;92,000;0,002;polymer replica;1.0;
;0,150;85,000;0,004;polymer replica;1.0;
;0,150;85,000;0,008;polymer replica;1.0;
;0,147;85,3;0,007;polymer replica;1.0;
;0,161;83,9;0,007;polymer replica;1.0;
;0,161;83,9;0,006;polymer replica;1.0;
;0,169;83,1;0,005;polymer replica;1.0;
;0,169;83,1;0,006;polymer replica;1.0;
;0,169;83,1;0,008;polymer replica;1.0;
;0,169;83,1;0,010;polymer replica;1.0;
;0,159;84,1;0,010;polymer replica;1.0;
;0,189;81,1;0,011;polymer replica;1.0;
;0,189;81,1;0,009;polymer replica;1.0;
;0,288;71,2;0,005;polymer replica;1.0;
;0,289;71,1;0,006;polymer replica;1.0;
;0,289;71,1;0,006;polymer replica;1.0;
;0,299;70,1;0,007;polymer replica;1.0;
;0,312;68,8;0,006;polymer replica;1.0;
;0,288;71,2;0,008;polymer replica;1.0;
;0,289;71,1;0,010;polymer replica;1.0;
;0,280;72,000;0,011;polymer replica;1.0;
;0,254;74,6;0,011;polymer replica;1.0;
;0,290;71,000;0,017;polymer replica;1.0;
;0,281;71,9;0,019;polymer replica;1.0;
;0,289;71,1;0,046;polymer replica;1.0;
;0,229;77,1;0,035;polymer replica;1.0;
;0,100;90,000;5,075E-04;wood replica;1.0;
;0,160;84,000;0,004;wood replica;1.0;
;0,300;70,000;0,009;wood replica;1.0;
;0,300;70,000;0,014;wood replica;1.0;
;0,159;84,1;0,029;wood replica;1.0;
;0,115;88,5;0,002;sacrificial templating;1.0;
;0,109;89,1;0,022;sacrificial templating;1.0;
